"city","time_period","country","variable","value","geometry"
"Praha",2022,"Czechia","monthly_income",1128.41666666667,c(14.446459273258, 50.0596288)
"Praha",2023,"Czechia","rent",1150,c(14.446459273258, 50.0596288)
"Praha",2023,"Czechia","monthly_income",1267.41666666667,c(14.446459273258, 50.0596288)
"Berlin",2014,"Germany","rent",800,c(13.3989367, 52.510885)
"Berlin",2014,"Germany","monthly_income",1878.08333333333,c(13.3989367, 52.510885)
"Berlin",2015,"Germany","rent",890,c(13.3989367, 52.510885)
"Berlin",2015,"Germany","monthly_income",1958.25,c(13.3989367, 52.510885)
"Berlin",2016,"Germany","rent",930,c(13.3989367, 52.510885)
"Berlin",2016,"Germany","monthly_income",2001.66666666667,c(13.3989367, 52.510885)
"Berlin",2017,"Germany","rent",960,c(13.3989367, 52.510885)
"Berlin",2017,"Germany","monthly_income",2065,c(13.3989367, 52.510885)
"Berlin",2018,"Germany","rent",990,c(13.3989367, 52.510885)
"Berlin",2018,"Germany","monthly_income",2156.83333333333,c(13.3989367, 52.510885)
"Berlin",2019,"Germany","rent",1050,c(13.3989367, 52.510885)
"Berlin",2019,"Germany","monthly_income",2175.41666666667,c(13.3989367, 52.510885)
"Berlin",2020,"Germany","rent",1050,c(13.3989367, 52.510885)
"Berlin",2020,"Germany","monthly_income",2491.33333333333,c(13.3989367, 52.510885)
"Berlin",2021,"Germany","rent",1150,c(13.3989367, 52.510885)
"Berlin",2021,"Germany","monthly_income",2425.5,c(13.3989367, 52.510885)
"Berlin",2022,"Germany","rent",1200,c(13.3989367, 52.510885)
"Berlin",2022,"Germany","monthly_income",2380.75,c(13.3989367, 52.510885)
"Berlin",2023,"Germany","rent",1250,c(13.3989367, 52.510885)
"Berlin",2023,"Germany","monthly_income",2525.66666666667,c(13.3989367, 52.510885)
"København",2014,"Denmark","rent",1050,c(12.5700724, 55.6867243)
"København",2014,"Denmark","monthly_income",2592.33333333333,c(12.5700724, 55.6867243)
"København",2015,"Denmark","rent",1200,c(12.5700724, 55.6867243)
"København",2015,"Denmark","monthly_income",2626.5,c(12.5700724, 55.6867243)
"København",2016,"Denmark","rent",1200,c(12.5700724, 55.6867243)
"København",2016,"Denmark","monthly_income",2678.41666666667,c(12.5700724, 55.6867243)
"København",2017,"Denmark","rent",1350,c(12.5700724, 55.6867243)
"København",2017,"Denmark","monthly_income",2732.66666666667,c(12.5700724, 55.6867243)
"København",2018,"Denmark","rent",1400,c(12.5700724, 55.6867243)
"København",2018,"Denmark","monthly_income",2813.25,c(12.5700724, 55.6867243)
"København",2019,"Denmark","rent",1400,c(12.5700724, 55.6867243)
"København",2019,"Denmark","monthly_income",2861,c(12.5700724, 55.6867243)
"København",2020,"Denmark","rent",1400,c(12.5700724, 55.6867243)
"København",2020,"Denmark","monthly_income",2862.16666666667,c(12.5700724, 55.6867243)
"København",2021,"Denmark","rent",1500,c(12.5700724, 55.6867243)
"København",2021,"Denmark","monthly_income",2978.66666666667,c(12.5700724, 55.6867243)
"København",2022,"Denmark","rent",1450,c(12.5700724, 55.6867243)
"København",2022,"Denmark","monthly_income",3120.58333333333,c(12.5700724, 55.6867243)
"København",2023,"Denmark","rent",1650,c(12.5700724, 55.6867243)
"København",2023,"Denmark","monthly_income",3194.16666666667,c(12.5700724, 55.6867243)
"Tallinn",2014,"Estonia","rent",530,c(24.7453688, 59.4372155)
"Tallinn",2014,"Estonia","monthly_income",735,c(24.7453688, 59.4372155)
"Tallinn",2015,"Estonia","rent",550,c(24.7453688, 59.4372155)
"Tallinn",2015,"Estonia","monthly_income",790.833333333333,c(24.7453688, 59.4372155)
"Tallinn",2016,"Estonia","rent",540,c(24.7453688, 59.4372155)
"Tallinn",2016,"Estonia","monthly_income",841.833333333333,c(24.7453688, 59.4372155)
"Tallinn",2017,"Estonia","rent",560,c(24.7453688, 59.4372155)
"Tallinn",2017,"Estonia","monthly_income",891.5,c(24.7453688, 59.4372155)
"Tallinn",2018,"Estonia","rent",600,c(24.7453688, 59.4372155)
"Tallinn",2018,"Estonia","monthly_income",978.833333333333,c(24.7453688, 59.4372155)
"Tallinn",2019,"Estonia","rent",630,c(24.7453688, 59.4372155)
"Tallinn",2019,"Estonia","monthly_income",1065,c(24.7453688, 59.4372155)
"Tallinn",2020,"Estonia","rent",560,c(24.7453688, 59.4372155)
"Tallinn",2020,"Estonia","monthly_income",1142.08333333333,c(24.7453688, 59.4372155)
"Tallinn",2021,"Estonia","rent",560,c(24.7453688, 59.4372155)
"Tallinn",2021,"Estonia","monthly_income",1184.83333333333,c(24.7453688, 59.4372155)
"Tallinn",2022,"Estonia","rent",730,c(24.7453688, 59.4372155)
"Tallinn",2022,"Estonia","monthly_income",1410,c(24.7453688, 59.4372155)
"Tallinn",2023,"Estonia","rent",780,c(24.7453688, 59.4372155)
"Tallinn",2023,"Estonia","monthly_income",1425.83333333333,c(24.7453688, 59.4372155)
"Athina",2014,"Greece","rent",630,c(23.7348324, 37.9755648)
"Athina",2014,"Greece","monthly_income",739.916666666667,c(23.7348324, 37.9755648)
"Athina",2015,"Greece","rent",590,c(23.7348324, 37.9755648)
"Athina",2015,"Greece","monthly_income",723.583333333333,c(23.7348324, 37.9755648)
"Athina",2016,"Greece","rent",620,c(23.7348324, 37.9755648)
"Athina",2016,"Greece","monthly_income",722.75,c(23.7348324, 37.9755648)
"Athina",2017,"Greece","rent",650,c(23.7348324, 37.9755648)
"Athina",2017,"Greece","monthly_income",733.333333333333,c(23.7348324, 37.9755648)
"Athina",2018,"Greece","rent",690,c(23.7348324, 37.9755648)
"Athina",2018,"Greece","monthly_income",752.833333333333,c(23.7348324, 37.9755648)
"Athina",2019,"Greece","rent",790,c(23.7348324, 37.9755648)
"Athina",2019,"Greece","monthly_income",781.833333333333,c(23.7348324, 37.9755648)
"Athina",2020,"Greece","rent",790,c(23.7348324, 37.9755648)
"Athina",2020,"Greece","monthly_income",836.75,c(23.7348324, 37.9755648)
"Athina",2021,"Greece","rent",860,c(23.7348324, 37.9755648)
"Athina",2021,"Greece","monthly_income",829.333333333333,c(23.7348324, 37.9755648)
"Athina",2022,"Greece","rent",910,c(23.7348324, 37.9755648)
"Athina",2022,"Greece","monthly_income",902.666666666667,c(23.7348324, 37.9755648)
"Athina",2023,"Greece","rent",960,c(23.7348324, 37.9755648)
"Athina",2023,"Greece","monthly_income",962.166666666667,c(23.7348324, 37.9755648)
"Madrid",2014,"Spain","rent",710,c(-3.7035825, 40.4167047)
"Madrid",2014,"Spain","monthly_income",1283.75,c(-3.7035825, 40.4167047)
"Madrid",2015,"Spain","rent",710,c(-3.7035825, 40.4167047)
"Madrid",2015,"Spain","monthly_income",1284,c(-3.7035825, 40.4167047)
"Madrid",2016,"Spain","rent",800,c(-3.7035825, 40.4167047)
"Madrid",2016,"Spain","monthly_income",1320.16666666667,c(-3.7035825, 40.4167047)
"Madrid",2017,"Spain","rent",890,c(-3.7035825, 40.4167047)
"Madrid",2017,"Spain","monthly_income",1365.83333333333,c(-3.7035825, 40.4167047)
"Madrid",2018,"Spain","rent",960,c(-3.7035825, 40.4167047)
"Madrid",2018,"Spain","monthly_income",1411.41666666667,c(-3.7035825, 40.4167047)
"Madrid",2019,"Spain","rent",1000,c(-3.7035825, 40.4167047)
"Madrid",2019,"Spain","monthly_income",1440.58333333333,c(-3.7035825, 40.4167047)
"Madrid",2020,"Spain","rent",1000,c(-3.7035825, 40.4167047)
"Madrid",2020,"Spain","monthly_income",1509.66666666667,c(-3.7035825, 40.4167047)
"Madrid",2021,"Spain","rent",810,c(-3.7035825, 40.4167047)
"Madrid",2021,"Spain","monthly_income",1508.58333333333,c(-3.7035825, 40.4167047)
"Madrid",2022,"Spain","rent",970,c(-3.7035825, 40.4167047)
"Madrid",2022,"Spain","monthly_income",1596.66666666667,c(-3.7035825, 40.4167047)
"Madrid",2023,"Spain","rent",1050,c(-3.7035825, 40.4167047)
"Madrid",2023,"Spain","monthly_income",1723,c(-3.7035825, 40.4167047)
"Helsinki",2014,"Finland","rent",1050,c(24.9427473, 60.1674881)
"Helsinki",2014,"Finland","monthly_income",2177.5,c(24.9427473, 60.1674881)
"Helsinki",2015,"Finland","rent",1050,c(24.9427473, 60.1674881)
"Helsinki",2015,"Finland","monthly_income",2186.66666666667,c(24.9427473, 60.1674881)
"Helsinki",2016,"Finland","rent",1050,c(24.9427473, 60.1674881)
"Helsinki",2016,"Finland","monthly_income",2198.25,c(24.9427473, 60.1674881)
"Helsinki",2017,"Finland","rent",1150,c(24.9427473, 60.1674881)
"Helsinki",2017,"Finland","monthly_income",2224.08333333333,c(24.9427473, 60.1674881)
"Helsinki",2018,"Finland","rent",1150,c(24.9427473, 60.1674881)
"Helsinki",2018,"Finland","monthly_income",2282.41666666667,c(24.9427473, 60.1674881)
"Helsinki",2019,"Finland","rent",1200,c(24.9427473, 60.1674881)
"Helsinki",2019,"Finland","monthly_income",2338.41666666667,c(24.9427473, 60.1674881)
"Helsinki",2020,"Finland","rent",1200,c(24.9427473, 60.1674881)
"Helsinki",2020,"Finland","monthly_income",2390.25,c(24.9427473, 60.1674881)
"Helsinki",2021,"Finland","rent",1100,c(24.9427473, 60.1674881)
"Helsinki",2021,"Finland","monthly_income",2384.25,c(24.9427473, 60.1674881)
"Helsinki",2022,"Finland","rent",1100,c(24.9427473, 60.1674881)
"Helsinki",2022,"Finland","monthly_income",2476.16666666667,c(24.9427473, 60.1674881)
"Helsinki",2023,"Finland","rent",1100,c(24.9427473, 60.1674881)
"Helsinki",2023,"Finland","monthly_income",2568.41666666667,c(24.9427473, 60.1674881)
"Paris",2014,"France","rent",1100,c(2.3483915, 48.8534951)
"Paris",2014,"France","monthly_income",2051,c(2.3483915, 48.8534951)
"Paris",2015,"France","rent",1100,c(2.3483915, 48.8534951)
"Paris",2015,"France","monthly_income",2081.83333333333,c(2.3483915, 48.8534951)
"Paris",2016,"France","rent",1100,c(2.3483915, 48.8534951)
"Paris",2016,"France","monthly_income",2106.5,c(2.3483915, 48.8534951)
"Paris",2017,"France","rent",1150,c(2.3483915, 48.8534951)
"Paris",2017,"France","monthly_income",2107.16666666667,c(2.3483915, 48.8534951)
"Paris",2018,"France","rent",1200,c(2.3483915, 48.8534951)
"Paris",2018,"France","monthly_income",2114.91666666667,c(2.3483915, 48.8534951)
"Paris",2019,"France","rent",1250,c(2.3483915, 48.8534951)
"Paris",2019,"France","monthly_income",2184.16666666667,c(2.3483915, 48.8534951)
"Paris",2020,"France","rent",1250,c(2.3483915, 48.8534951)
"Paris",2020,"France","monthly_income",2115.16666666667,c(2.3483915, 48.8534951)
"Paris",2021,"France","rent",1250,c(2.3483915, 48.8534951)
"Paris",2021,"France","monthly_income",2172.91666666667,c(2.3483915, 48.8534951)
"Paris",2022,"France","rent",1250,c(2.3483915, 48.8534951)
"Paris",2022,"France","monthly_income",2201.58333333333,c(2.3483915, 48.8534951)
"Paris",2023,"France","rent",1350,c(2.3483915, 48.8534951)
"Paris",2023,"France","monthly_income",2298.08333333333,c(2.3483915, 48.8534951)
"Zagreb",2014,"Croatia","rent",550,c(15.9772795, 45.8130967)
"Zagreb",2014,"Croatia","monthly_income",486.083333333333,c(15.9772795, 45.8130967)
"Zagreb",2015,"Croatia","rent",490,c(15.9772795, 45.8130967)
"Zagreb",2015,"Croatia","monthly_income",512.5,c(15.9772795, 45.8130967)
"Zagreb",2016,"Croatia","rent",570,c(15.9772795, 45.8130967)
"Zagreb",2016,"Croatia","monthly_income",533.666666666667,c(15.9772795, 45.8130967)
"Zagreb",2017,"Croatia","rent",630,c(15.9772795, 45.8130967)
"Zagreb",2017,"Croatia","monthly_income",570.833333333333,c(15.9772795, 45.8130967)
"Zagreb",2018,"Croatia","rent",620,c(15.9772795, 45.8130967)
"Zagreb",2018,"Croatia","monthly_income",608.5,c(15.9772795, 45.8130967)
"Zagreb",2019,"Croatia","rent",710,c(15.9772795, 45.8130967)
"Zagreb",2019,"Croatia","monthly_income",663.75,c(15.9772795, 45.8130967)
"Zagreb",2020,"Croatia","rent",730,c(15.9772795, 45.8130967)
"Zagreb",2020,"Croatia","monthly_income",709.083333333333,c(15.9772795, 45.8130967)
"Zagreb",2021,"Croatia","rent",680,c(15.9772795, 45.8130967)
"Zagreb",2021,"Croatia","monthly_income",738.75,c(15.9772795, 45.8130967)
"Zagreb",2022,"Croatia","rent",770,c(15.9772795, 45.8130967)
"Zagreb",2022,"Croatia","monthly_income",802.416666666667,c(15.9772795, 45.8130967)
"Zagreb",2023,"Croatia","rent",890,c(15.9772795, 45.8130967)
"Zagreb",2023,"Croatia","monthly_income",907.583333333333,c(15.9772795, 45.8130967)
"Budapest",2014,"Hungary","rent",460,c(19.0402383, 47.4978789)
"Budapest",2014,"Hungary","monthly_income",427,c(19.0402383, 47.4978789)
"Budapest",2015,"Hungary","rent",530,c(19.0402383, 47.4978789)
"Budapest",2015,"Hungary","monthly_income",430.416666666667,c(19.0402383, 47.4978789)
"Budapest",2016,"Hungary","rent",590,c(19.0402383, 47.4978789)
"Budapest",2016,"Hungary","monthly_income",449.666666666667,c(19.0402383, 47.4978789)
"Budapest",2017,"Hungary","rent",660,c(19.0402383, 47.4978789)
"Budapest",2017,"Hungary","monthly_income",465.75,c(19.0402383, 47.4978789)
"Budapest",2018,"Hungary","rent",620,c(19.0402383, 47.4978789)
"Budapest",2018,"Hungary","monthly_income",510.25,c(19.0402383, 47.4978789)
"Budapest",2019,"Hungary","rent",800,c(19.0402383, 47.4978789)
"Budapest",2019,"Hungary","monthly_income",547.333333333333,c(19.0402383, 47.4978789)
"Budapest",2020,"Hungary","rent",760,c(19.0402383, 47.4978789)
"Budapest",2020,"Hungary","monthly_income",606.5,c(19.0402383, 47.4978789)
"Budapest",2021,"Hungary","rent",610,c(19.0402383, 47.4978789)
"Budapest",2021,"Hungary","monthly_income",611.416666666667,c(19.0402383, 47.4978789)
"Budapest",2022,"Hungary","rent",660,c(19.0402383, 47.4978789)
"Budapest",2022,"Hungary","monthly_income",654.25,c(19.0402383, 47.4978789)
"Budapest",2023,"Hungary","rent",890,c(19.0402383, 47.4978789)
"Budapest",2023,"Hungary","monthly_income",696.916666666667,c(19.0402383, 47.4978789)
"Dublin",2014,"Ireland","rent",1150,c(-6.2605593, 53.3493795)
"Dublin",2014,"Ireland","monthly_income",1964.41666666667,c(-6.2605593, 53.3493795)
"Dublin",2015,"Ireland","rent",1200,c(-6.2605593, 53.3493795)
"Dublin",2015,"Ireland","monthly_income",2063.83333333333,c(-6.2605593, 53.3493795)
"Dublin",2016,"Ireland","rent",1400,c(-6.2605593, 53.3493795)
"Dublin",2016,"Ireland","monthly_income",2132.16666666667,c(-6.2605593, 53.3493795)
"Dublin",2017,"Ireland","rent",1550,c(-6.2605593, 53.3493795)
"Dublin",2017,"Ireland","monthly_income",2250.5,c(-6.2605593, 53.3493795)
"Dublin",2018,"Ireland","rent",1650,c(-6.2605593, 53.3493795)
"Dublin",2018,"Ireland","monthly_income",2385.83333333333,c(-6.2605593, 53.3493795)
"Dublin",2019,"Ireland","rent",1750,c(-6.2605593, 53.3493795)
"Dublin",2019,"Ireland","monthly_income",2428.41666666667,c(-6.2605593, 53.3493795)
"Dublin",2020,"Ireland","rent",1750,c(-6.2605593, 53.3493795)
"Dublin",2020,"Ireland","monthly_income",2562.16666666667,c(-6.2605593, 53.3493795)
"Dublin",2021,"Ireland","rent",1600,c(-6.2605593, 53.3493795)
"Dublin",2021,"Ireland","monthly_income",2691.83333333333,c(-6.2605593, 53.3493795)
"Dublin",2022,"Ireland","rent",1800,c(-6.2605593, 53.3493795)
"Dublin",2022,"Ireland","monthly_income",2792.75,c(-6.2605593, 53.3493795)
"Dublin",2023,"Ireland","rent",2050,c(-6.2605593, 53.3493795)
"Dublin",2023,"Ireland","monthly_income",2933.83333333333,c(-6.2605593, 53.3493795)
"Roma",2014,"Italy","rent",1030,c(12.4829321, 41.8933203)
"Roma",2014,"Italy","monthly_income",1492.83333333333,c(12.4829321, 41.8933203)
"Roma",2015,"Italy","rent",950,c(12.4829321, 41.8933203)
"Roma",2015,"Italy","monthly_income",1490.83333333333,c(12.4829321, 41.8933203)
"Roma",2016,"Italy","rent",950,c(12.4829321, 41.8933203)
"Roma",2016,"Italy","monthly_income",1523.83333333333,c(12.4829321, 41.8933203)
"Roma",2017,"Italy","rent",930,c(12.4829321, 41.8933203)
"Roma",2017,"Italy","monthly_income",1559.5,c(12.4829321, 41.8933203)
"Roma",2018,"Italy","rent",910,c(12.4829321, 41.8933203)
"Roma",2018,"Italy","monthly_income",1600.66666666667,c(12.4829321, 41.8933203)
"Roma",2019,"Italy","rent",950,c(12.4829321, 41.8933203)
"Roma",2019,"Italy","monthly_income",1627.33333333333,c(12.4829321, 41.8933203)
"Roma",2020,"Italy","rent",960,c(12.4829321, 41.8933203)
"Roma",2020,"Italy","monthly_income",1704.08333333333,c(12.4829321, 41.8933203)
"Roma",2021,"Italy","rent",890,c(12.4829321, 41.8933203)
"Roma",2021,"Italy","monthly_income",1689.83333333333,c(12.4829321, 41.8933203)
"Roma",2022,"Italy","rent",920,c(12.4829321, 41.8933203)
"Roma",2022,"Italy","monthly_income",1776.41666666667,c(12.4829321, 41.8933203)
"Roma",2023,"Italy","rent",910,c(12.4829321, 41.8933203)
"Roma",2023,"Italy","monthly_income",1892.58333333333,c(12.4829321, 41.8933203)
"Vilnius",2014,"Lithuania","rent",510,c(25.2829111, 54.6870458)
"Vilnius",2014,"Lithuania","monthly_income",497.916666666667,c(25.2829111, 54.6870458)
"Vilnius",2015,"Lithuania","rent",540,c(25.2829111, 54.6870458)
"Vilnius",2015,"Lithuania","monthly_income",546.5,c(25.2829111, 54.6870458)
"Vilnius",2016,"Lithuania","rent",600,c(25.2829111, 54.6870458)
"Vilnius",2016,"Lithuania","monthly_income",586.083333333333,c(25.2829111, 54.6870458)
"Vilnius",2017,"Lithuania","rent",570,c(25.2829111, 54.6870458)
